type,name,level,attributes,source
"""概念""","""边界部分""",4,"{""作用"": ""限制集合扩张，确定集合边界。"", ""结果"": ""确定集合最多包含哪些元素。""}","[""第一章  集合与计数基础"", ""§ 1.1 集合的基本知识"", ""1.1.2 集合的概念与表示"", ""二、集合的表示方法"", ""3.归纳法""]"
"""概念""","""集合归纳表示法""",4,"{""特点"": ""构造性，适合计算机处理。"", ""应用"": ""定义概念、设计算法等计算机相关领域。""}","[""第一章  集合与计数基础"", ""§ 1.1 集合的基本知识"", ""1.1.2 集合的概念与表示"", ""二、集合的表示方法"", ""3.归纳法""]"
"""性质""","""构造性特点""",5,"{""定义"": ""通过定义规则构造集合的方法。"", ""组成"": ""基础部分、归纳部分、边界部分。"", ""作用"": ""确定集合的初始元素和边界，实现集合扩张。"", ""应用"": ""适合计算机处理，用于定义概念或设计算法。""}","[""第一章  集合与计数基础"", ""§ 1.1 集合的基本知识"", ""1.1.2 集合的概念与表示"", ""二、集合的表示方法"", ""3.归纳法""]"
"""工具""","""文氏图""",5,"{""定义"": ""用长方形和内部几何图形表示集合关系的图示方法。"", ""命名"": ""以英国数学家文恩命名。"", ""用途"": ""形象地表示集合之间的关系。"", ""时间"": ""1881年介绍使用方法。""}","[""第一章  集合与计数基础"", ""§ 1.1 集合的基本知识"", ""1.1.2 集合的概念与表示"", ""二、集合的表示方法"", ""4.文氏图法""]"
"""概念""","""集合的表示方法""",4,"{""包含"": ""文氏图等图示方法。"", ""目的"": ""表示集合及其关系。""}","[""第一章  集合与计数基础"", ""§ 1.1 集合的基本知识"", ""1.1.2 集合的概念与表示"", ""二、集合的表示方法"", ""4.文氏图法""]"
"""概念""","""集合的概念""",3,"{""相关"": ""文氏图用于表示集合关系。"", ""基础"": ""集合论的基本组成部分。""}","[""第一章  集合与计数基础"", ""§ 1.1 集合的基本知识"", ""1.1.2 集合的概念与表示"", ""二、集合的表示方法"", ""4.文氏图法""]"
"""数学家""","""文恩""",6,"{""身份"": ""英国数学家。"", ""贡献"": ""介绍文氏图的使用方法。""}","[""第一章  集合与计数基础"", ""§ 1.1 集合的基本知识"", ""1.1.2 集合的概念与表示"", ""二、集合的表示方法"", ""4.文氏图法""]"
"""概念""","""集合""",2,"{""特性"": ""元素无序且唯一。"", ""关系"": ""包含关系和子集概念。""}","[""第一章  集合与计数基础"", ""§ 1.1 集合的基本知识"", ""1.1.2 集合的概念与表示"", ""三、集合与集合的关系""]"
"""定理""","""外延性原理""",3,"{""定义"": ""集合相等当且仅当两者具有相同元素。"", ""表示"": ""A=B表示相等，A≠B表示不相等。""}","[""第一章  集合与计数基础"", ""§ 1.1 集合的基本知识"", ""1.1.2 集合的概念与表示"", ""三、集合与集合的关系""]"
"""性质""","""集合的相等关系""",4,"{""性质"": ""自反性、对称性、传递性。""}","[""第一章  集合与计数基础"", ""§ 1.1 集合的基本知识"", ""1.1.2 集合的概念与表示"", ""三、集合与集合的关系""]"
"""性质""","""自反性""",5,"{""定义"": ""任意集合A，A=A。"", ""应用"": ""集合相等的基本性质之一。""}","[""第一章  集合与计数基础"", ""§ 1.1 集合的基本知识"", ""1.1.2 集合的概念与表示"", ""三、集合与集合的关系""]"
"""性质""","""对称性""",5,"{""定义"": ""若A=B，则B=A。"", ""应用"": ""集合相等的基本性质之一。""}","[""第一章  集合与计数基础"", ""§ 1.1 集合的基本知识"", ""1.1.2 集合的概念与表示"", ""三、集合与集合的关系""]"
"""性质""","""传递性""",5,"{""定义"": ""集合关系的一种性质，若A包含B且B包含C，则A包含C。"", ""性质"": ""集合相等和包含关系都具有传递性。""}","[""第一章  集合与计数基础"", ""§ 1.1 集合的基本知识"", ""1.1.2 集合的概念与表示"", ""三、集合与集合的关系""]"
"""概念""","""包含关系""",3,"{""定义"": ""若B中每个元素都是A中的元素，则B包含于A。"", ""性质"": ""具有自反性、反对称性和传递性。"", ""符号"": ""用'B⊆A'表示。""}","[""第一章  集合与计数基础"", ""§ 1.1 集合的基本知识"", ""1.1.2 集合的概念与表示"", ""三、集合与集合的关系""]"
"""概念""","""子集""",3,"{""定义"": ""若B包含于A，则B是A的子集。"", ""符号"": ""用'B⊆A'表示。""}","[""第一章  集合与计数基础"", ""§ 1.1 集合的基本知识"", ""1.1.2 集合的概念与表示"", ""三、集合与集合的关系""]"
"""概念""","""真子集""",4,"{""定义"": ""若B是A的子集且A不等于B，则B是A的真子集。"", ""符号"": ""用'B⊂A'表示。""}","[""第一章  集合与计数基础"", ""§ 1.1 集合的基本知识"", ""1.1.2 集合的概念与表示"", ""三、集合与集合的关系""]"
"""概念""","""集合论""",2,"{""作用"": ""定义基本概念，讨论性质。"", ""组成"": ""包括特殊集合如空集、全集等。""}","[""第一章  集合与计数基础"", ""§ 1.1 集合的基本知识"", ""1.1.2 集合的概念与表示"", ""四、常用的特殊集合""]"
"""概念""","""特殊集合""",3,"{""定义"": ""具有特殊性质的集合。"", ""用途"": ""用于定义和讨论基本概念。""}","[""第一章  集合与计数基础"", ""§ 1.1 集合的基本知识"", ""1.1.2 集合的概念与表示"", ""四、常用的特殊集合""]"
"""概念""","""空集""",4,"{""定义"": ""不含任何元素的集合。"", ""性质"": ""特殊集合之一。""}","[""第一章  集合与计数基础"", ""§ 1.1 集合的基本知识"", ""1.1.2 集合的概念与表示"", ""四、常用的特殊集合""]"
"""概念""","""全集""",4,"{""定义"": ""包含所有讨论元素的集合。"", ""性质"": ""特殊集合之一。""}","[""第一章  集合与计数基础"", ""§ 1.1 集合的基本知识"", ""1.1.2 集合的概念与表示"", ""四、常用的特殊集合""]"
"""概念""","""有限集""",4,"{""定义"": ""元素数量有限的集合。"", ""性质"": ""特殊集合之一。""}","[""第一章  集合与计数基础"", ""§ 1.1 集合的基本知识"", ""1.1.2 集合的概念与表示"", ""四、常用的特殊集合""]"
"""概念""","""无限集""",4,"{""定义"": ""元素数量无限的集合。"", ""性质"": ""元素数量不可数。"", ""应用"": ""用于描述无穷大的集合情况。""}","[""第一章  集合与计数基础"", ""§ 1.1 集合的基本知识"", ""1.1.2 集合的概念与表示"", ""四、常用的特殊集合""]"
"""概念""","""子集""",4,"{""定义"": ""集合A的元素全部属于集合B，则A是B的子集。"", ""性质"": ""包含关系。"", ""应用"": ""用于描述集合间的包含关系。""}","[""第一章  集合与计数基础"", ""§ 1.1 集合的基本知识"", ""1.1.2 集合的概念与表示"", ""四、常用的特殊集合""]"
"""概念""","""幂集""",4,"{""定义"": ""集合所有子集的集合。"", ""性质"": ""包含原集合的所有子集。"", ""应用"": ""用于研究集合的子集结构。""}","[""第一章  集合与计数基础"", ""§ 1.1 集合的基本知识"", ""1.1.2 集合的概念与表示"", ""四、常用的特殊集合""]"
"""概念""","""空集""",3,"{""定义"": ""不含任何元素的集合。"", ""特性"": ""是所有集合的子集，且绝对唯一。"", ""记法"": ""记作$\\varnothing$。""}","[""第一章  集合与计数基础"", ""§ 1.1 集合的基本知识"", ""1.1.2 集合的概念与表示"", ""四、常用的特殊集合"", ""1.空集与全集""]"
"""概念""","""全集""",3,"{""定义"": ""相对固定范围内所有元素组成的集合。"", ""特性"": ""相对唯一，随问题背景变化。"", ""记法"": ""通常用$U$表示。"", ""表示"": ""文氏图中用矩形表示。""}","[""第一章  集合与计数基础"", ""§ 1.1 集合的基本知识"", ""1.1.2 集合的概念与表示"", ""四、常用的特殊集合"", ""1.空集与全集""]"
"""工具""","""文氏图""",5,"{""用途"": ""表示集合关系。"", ""表示"": ""矩形表示全集，圆形表示非全集集合。""}","[""第一章  集合与计数基础"", ""§ 1.1 集合的基本知识"", ""1.1.2 集合的概念与表示"", ""四、常用的特殊集合"", ""1.空集与全集""]"
"""概念""","""子集""",4,"{""定义"": ""一个集合的所有元素都是另一个集合的元素。"", ""相关"": ""空集是所有集合的子集。""}","[""第一章  集合与计数基础"", ""§ 1.1 集合的基本知识"", ""1.1.2 集合的概念与表示"", ""四、常用的特殊集合"", ""1.空集与全集""]"
"""概念""","""论域""",4,"{""定义"": ""讨论问题的固定范围或背景。"", ""特性"": ""每个问题应有唯一论域，避免概念歧义。""}","[""第一章  集合与计数基础"", ""§ 1.1 集合的基本知识"", ""1.1.2 集合的概念与表示"", ""四、常用的特殊集合"", ""1.空集与全集""]"
"""概念""","""背景""",4,"{""定义"": ""相对固定范围之内所有元素组成的集合。"", ""表示"": ""通常用U表示，文氏图中用矩形表示。"", ""特性"": ""相对唯一，随问题不同而变化。""}","[""第一章  集合与计数基础"", ""§ 1.1 集合的基本知识"", ""1.1.2 集合的概念与表示"", ""四、常用的特殊集合"", ""1.空集与全集""]"
"""概念""","""集合基数""",3,"{""定义"": ""集合中所含元素的个数。"", ""记法"": ""|A|""}","[""第一章  集合与计数基础"", ""§ 1.1 集合的基本知识"", ""1.1.2 集合的概念与表示"", ""四、常用的特殊集合"", ""2.有限集与无限集""]"
"""概念""","""有限集""",4,"{""定义"": ""基数为有限数的集合。"", ""特性"": ""元素个数有限。""}","[""第一章  集合与计数基础"", ""§ 1.1 集合的基本知识"", ""1.1.2 集合的概念与表示"", ""四、常用的特殊集合"", ""2.有限集与无限集""]"
"""概念""","""无限集""",4,"{""定义"": ""基数为无限数的集合。"", ""特性"": ""元素个数无限。""}","[""第一章  集合与计数基础"", ""§ 1.1 集合的基本知识"", ""1.1.2 集合的概念与表示"", ""四、常用的特殊集合"", ""2.有限集与无限集""]"
"""概念""","""规模度量""",5,"{""用途"": ""度量集合中元素的数量规模。"", ""区别"": ""有限集和无限集的度量有本质区别。""}","[""第一章  集合与计数基础"", ""§ 1.1 集合的基本知识"", ""1.1.2 集合的概念与表示"", ""四、常用的特殊集合"", ""2.有限集与无限集""]"
"""概念""","""计数""",5,"{""用途"": ""对集合中元素进行数量统计。"", ""区别"": ""有限集和无限集的计数方法不同。""}","[""第一章  集合与计数基础"", ""§ 1.1 集合的基本知识"", ""1.1.2 集合的概念与表示"", ""四、常用的特殊集合"", ""2.有限集与无限集""]"
"""概念""","""有限集合""",3,"{""定义"": ""含有有限个元素的集合。"", ""特性"": ""可以构造出有限个子集。""}","[""第一章  集合与计数基础"", ""§ 1.1 集合的基本知识"", ""1.1.2 集合的概念与表示"", ""四、常用的特殊集合"", ""3.有限子集与幂集""]"
"""概念""","""子集""",4,"{""定义"": ""集合A中的任意元素构成的集合。"", ""特性"": ""若B是A的子集，则B的元素都在A中。""}","[""第一章  集合与计数基础"", ""§ 1.1 集合的基本知识"", ""1.1.2 集合的概念与表示"", ""四、常用的特殊集合"", ""3.有限子集与幂集""]"
"""概念""","""n元集合""",5,"{""定义"": ""含有n个元素的集合。"", ""特性"": ""有$2^n$个不同的子集。""}","[""第一章  集合与计数基础"", ""§ 1.1 集合的基本知识"", ""1.1.2 集合的概念与表示"", ""四、常用的特殊集合"", ""3.有限子集与幂集""]"
"""概念""","""m元子集""",5,"{""定义"": ""含有m个元素的子集。"", ""特性"": ""是n元集合的子集之一。""}","[""第一章  集合与计数基础"", ""§ 1.1 集合的基本知识"", ""1.1.2 集合的概念与表示"", ""四、常用的特殊集合"", ""3.有限子集与幂集""]"
"""概念""","""幂集""",3,"{""定义"": ""集合A的所有不同子集构成的集合。"", ""记法"": ""记为P(A)或$2^A$。"", ""特性"": ""是一种特殊的集族。""}","[""第一章  集合与计数基础"", ""§ 1.1 集合的基本知识"", ""1.1.2 集合的概念与表示"", ""四、常用的特殊集合"", ""3.有限子集与幂集""]"
"""概念""","""集族""",4,"{""定义"": ""以集合作为元素的集合。"", ""特性"": ""幂集是一种特殊的集族。""}","[""第一章  集合与计数基础"", ""§ 1.1 集合的基本知识"", ""1.1.2 集合的概念与表示"", ""四、常用的特殊集合"", ""3.有限子集与幂集""]"
"""概念""","""集合""",2,"{""定义"": ""由元素构成的整体。"", ""用途"": ""用于构造新的集合。""}","[""第一章  集合与计数基础"", ""§ 1.1 集合的基本知识"", ""1.1.3 集合的基本运算""]"
"""概念""","""基本运算""",3,"{""定义"": ""对集合进行操作以构造新集合的方法。"", ""种类"": ""交、并、差、补、对称差运算。""}","[""第一章  集合与计数基础"", ""§ 1.1 集合的基本知识"", ""1.1.3 集合的基本运算""]"
"""概念""","""交运算""",4,"{""定义"": ""取两个集合的公共元素。"", ""结果"": ""生成新的集合。""}","[""第一章  集合与计数基础"", ""§ 1.1 集合的基本知识"", ""1.1.3 集合的基本运算""]"
"""概念""","""并运算""",4,"{""定义"": ""合并两个集合的所有元素。"", ""结果"": ""生成新的集合。""}","[""第一章  集合与计数基础"", ""§ 1.1 集合的基本知识"", ""1.1.3 集合的基本运算""]"
