type,name,level,attributes,source
"""变量""","""a2""",5,"{""定义"": ""k个不全为零的整数中的第二个整数。""}","[""第二章  整数与算法设计基础"", ""§ 2.1 整数的基本知识"", ""2.1.2 整数的因数分解"", ""一、公因数与公倍数""]"
"""变量""","""ak""",5,"{""定义"": ""任意给定的两个整数""}","[""第二章  整数与算法设计基础"", ""§ 2.1 整数的基本知识"", ""2.1.2 整数的因数分解"", ""一、公因数与公倍数""]"
"""元素""","""b""",5,"{""description"": null, ""relation"": null}","[[""第二章  整数与算法设计基础"", ""§ 2.1 整数的基本知识"", ""2.1.2 整数的因数分解"", ""一、公因数与公倍数""], [""第七章 函数与特殊函数"", ""§ 7.3 集合的特征函数"", ""7.3.1 特征函数的概念""]]"
"""元素""","""c""",5,"{""特征"": ""属于集合U但不属于子集A。""}","[""第七章 函数与特殊函数"", ""§ 7.3 集合的特征函数"", ""7.3.1 特征函数的概念""]"
"""变量""","""d""",5,"{""定义"": ""a和b的公因数。""}","[""第二章  整数与算法设计基础"", ""§ 2.1 整数的基本知识"", ""2.1.2 整数的因数分解"", ""一、公因数与公倍数""]"
"""概念""","""f(x)""",6,"{""定义"": ""无穷重数的m元重集的r-组合数的母函数。"", ""用途"": ""计算r-组合数。""}","[""第一章  集合与计数基础"", ""§ 1.4 有限集的高级计数技术"", ""1.4.3 生成函数计数法""]"
"""算法""","""gcd""",3,"{""description"": null, ""relation"": null}","[[""第二章  整数与算法设计基础"", ""§ 2.1 整数的基本知识"", ""2.1.2 整数的因数分解"", ""一、公因数与公倍数""], [""第二章  整数与算法设计基础"", ""§ 2.4 算法设计策略与应用"", ""2.4.2 递归与分治"", ""一、递归策略""]]"
"""变量""","""i""",5,"{""description"": null, ""relation"": null}","[[""第十章  特殊图模型与算法"", ""§ 10.1 欧拉图与哈密顿图"", ""10.1.1  欧拉图及其性质""], [""第二章  整数与算法设计基础"", ""§ 2.1 整数的基本知识"", ""2.1.2 整数的因数分解"", ""一、公因数与公倍数""]]"
"""变量""","""j""",5,"{""定义"": ""任意两个整数。""}","[""第二章  整数与算法设计基础"", ""§ 2.1 整数的基本知识"", ""2.1.2 整数的因数分解"", ""一、公因数与公倍数""]"
"""变量""","""k""",5,"{""定义"": ""表示两个整数a和b的最大公因数d的线性组合中的系数k1。""}","[""第二章  整数与算法设计基础"", ""§ 2.1 整数的基本知识"", ""2.1.2 整数的因数分解"", ""一、公因数与公倍数""]"
"""概念""","""k-正则图""",3,"{""定义"": ""各结点度均为k的正则图""}","[""第八章  图的基本理论与算法"", ""§ 8.2 图的运算与结构"", ""8.2.2 图模型的度结构""]"
"""概念""","""k-着色""",3,"{""定义"": ""使用k种颜色对无向图进行结点着色。"", ""特点"": ""颜色数量为k。""}","[""第十章  特殊图模型与算法"", ""§ 10.2 二分图与匹配问题"", ""10.3.3 着色问题与算法"", ""一、点着色与边着色""]"
"""概念""","""k-色图""",3,"{""定义"": ""k-可着色的无向图，但不是(k-1)-可着色的。"", ""特点"": ""具有特定的色数k。""}","[""第十章  特殊图模型与算法"", ""§ 10.2 二分图与匹配问题"", ""10.3.3 着色问题与算法"", ""一、点着色与边着色""]"
"""概念""","""k-色地图""",4,"{""定义"": ""可用k种颜色完成面着色的地图。"", ""性质"": ""面色数k为地图的面色数。""}","[""第十章  特殊图模型与算法"", ""§ 10.2 二分图与匹配问题"", ""10.3.3 着色问题与算法"", ""二、平面图的着色问题""]"
"""概念""","""k-面可着色""",4,"{""定义"": ""地图可用k种颜色完成面着色。""}","[""第十章  特殊图模型与算法"", ""§ 10.2 二分图与匹配问题"", ""10.3.3 着色问题与算法"", ""二、平面图的着色问题""]"
"""变量""","""k1""",5,"{""定义"": ""满足gcd(a,b)=k1*b+k2*a的整数。""}","[""第二章  整数与算法设计基础"", ""§ 2.1 整数的基本知识"", ""2.1.2 整数的因数分解"", ""一、公因数与公倍数""]"
"""变量""","""k2""",5,"{""定义"": ""表示两个整数a和b的最大公因数d的线性组合中的系数k2。""}","[""第二章  整数与算法设计基础"", ""§ 2.1 整数的基本知识"", ""2.1.2 整数的因数分解"", ""一、公因数与公倍数""]"
"""概念""","""k元树""",3,"{""定义"": ""根树中，每个分支点至多有k个儿子的树。""}","[""第九章  树的基本理论与算法"", ""§ 9.2 根树的基本知识"", ""9.2.1  有向树与根树""]"
"""概念""","""k叉树""",3,"{""定义"": ""根树中，每个分支点都恰有k个儿子的树。""}","[""第九章  树的基本理论与算法"", ""§ 9.2 根树的基本知识"", ""9.2.1  有向树与根树""]"
"""算法""","""lcm""",3,"{""全称"": ""最小公倍数"", ""定义"": ""两个或多个整数共有的最小倍数。""}","[""第二章  整数与算法设计基础"", ""§ 2.1 整数的基本知识"", ""2.1.2 整数的因数分解"", ""一、公因数与公倍数""]"
"""符号""","""m""",7,"{""定义"": ""无向图模型中边的数量。""}","[""第九章  树的基本理论与算法"", ""§ 9.1 无向树的基本知识"", ""9.1.1  无向树的概念与性质""]"
"""性质""","""m=n-1""",5,"{""定理"": ""树中边数等于顶点数减一""}","[""第九章  树的基本理论与算法"", ""§ 9.1 无向树的基本知识"", ""9.1.1  无向树的概念与性质""]"
"""符号""","""n""",7,"{""定义"": ""无向图模型中顶点的数量。""}","[""第九章  树的基本理论与算法"", ""§ 9.1 无向树的基本知识"", ""9.1.1  无向树的概念与性质""]"
"""概念""","""n元真值函数""",4,"{""定义"": ""含有n个命题变元的命题公式。"", ""特性"": ""有$2^{2^{n}}$种不同表现形式。""}","[""第三章  命题演算与推理"", ""§ 3.3 联结词的完备集"", ""3.3.1  联结词的枚举""]"
"""变量""","""q""",5,"{""定义"": ""表示在带余除法中，整数a除以整数b得到的商。""}","[""第二章  整数与算法设计基础"", ""§ 2.1 整数的基本知识"", ""2.1.2 整数的因数分解"", ""一、公因数与公倍数""]"
"""概念""","""r s(R)""",6,"{""定义"": ""自反闭包和对称闭包的运算结果。""}","[""第五章 关系模型与理论"", ""§ 5.4 关系的性质闭包"", ""5.4.3  关系闭包的性质""]"
"""概念""","""r t(R)""",6,"{""定义"": ""自反闭包和传递闭包的运算结果。""}","[""第五章 关系模型与理论"", ""§ 5.4 关系的性质闭包"", ""5.4.3  关系闭包的性质""]"
"""变量""","""r""",5,"{""定义"": ""表示在带余除法中，整数a除以整数b得到的余数。""}","[""第二章  整数与算法设计基础"", ""§ 2.1 整数的基本知识"", ""2.1.2 整数的因数分解"", ""一、公因数与公倍数""]"
"""概念""","""r-组合数""",5,"{""定义"": ""从m个不同元素中，不重复地选取r个元素的组合方式数目。""}","[""第一章  集合与计数基础"", ""§ 1.4 有限集的高级计数技术"", ""1.4.3 生成函数计数法""]"
"""概念""","""s r(R)""",6,"{""定义"": ""对称闭包和自反闭包的运算结果。""}","[""第五章 关系模型与理论"", ""§ 5.4 关系的性质闭包"", ""5.4.3  关系闭包的性质""]"
"""概念""","""s t(R)""",6,"{""定义"": ""对称闭包与传递闭包的复合"", ""性质"": ""s t(R) ⊆ t s(R)""}","[""第五章 关系模型与理论"", ""§ 5.4 关系的性质闭包"", ""5.4.3  关系闭包的性质""]"
"""变量""","""s""",5,"{""定义"": ""表示整数a和b的公倍数。""}","[""第二章  整数与算法设计基础"", ""§ 2.1 整数的基本知识"", ""2.1.2 整数的因数分解"", ""一、公因数与公倍数""]"
"""实验名称""","""system R""",3,"{""定义"": ""IBM公司研制的具有实用价值的关系模型数据库系统。"", ""应用"": ""实现关系代数模型，是数据库发展的重要里程碑。""}","[""第五章 关系模型与理论"", ""§ 5.5 关系模型的应用"", ""5.5.1 关系代数模型""]"
"""概念""","""t r(R)""",6,"{""定义"": ""传递闭包与自反闭包的复合"", ""性质"": ""r t(R) = t r(R)""}","[""第五章 关系模型与理论"", ""§ 5.4 关系的性质闭包"", ""5.4.3  关系闭包的性质""]"
"""概念""","""t s(R)""",6,"{""定义"": ""传递闭包与对称闭包的复合"", ""性质"": ""无特定性质提及""}","[""第五章 关系模型与理论"", ""§ 5.4 关系的性质闭包"", ""5.4.3  关系闭包的性质""]"
"""变量""","""t""",5,"{""description"": null, ""relation"": null}","[[""第二章  整数与算法设计基础"", ""§ 2.1 整数的基本知识"", ""2.1.2 整数的因数分解"", ""一、公因数与公倍数""], [""第二章  整数与算法设计基础"", ""§ 2.1 整数的基本知识"", ""2.1.2 整数的因数分解"", ""一、公因数与公倍数""]]"
"""定理""","""t-条件""",3,"{""定义"": ""二分图存在完备匹配的充分条件。"", ""条件"": ""X中每个结点至少关联t-条边，Y中每个结点至多关联t-条边。"", ""应用"": ""用于判断二分图是否存在完备匹配。""}","[""第十章  特殊图模型与算法"", ""§ 10.2 二分图与匹配问题"", ""10.2.2 完备匹配与最大匹配""]"
"""概念""","""x^r""",6,"{""定义"": ""母函数中x的r次幂。"", ""用途"": ""表示r-组合数。""}","[""第一章  集合与计数基础"", ""§ 1.4 有限集的高级计数技术"", ""1.4.3 生成函数计数法""]"
"""概念""","""|E|""",7,"{""定义"": ""表示图中边的总数。"", ""用途"": ""用于算法中的迭代和计数。"", ""特性"": ""在弗洛莱算法中用于确定迭代次数。""}","[""第十章  特殊图模型与算法"", ""§ 10.1 欧拉图与哈密顿图"", ""10.1.1  欧拉图及其性质""]"
"""概念""","""∃型前束范式""",3,"{""定义"": ""所有存在量词排在所有全称量词左边的谓词公式。""}","[""第四章  谓词演算与推理"", ""§ 4.3 谓词公式的范式"", ""4.3.2 非等值型范式"", ""一、∃型前束范式""]"
"""概念""","""一元真值函数""",4,"{""定义"": ""含有单个命题变元的命题公式。"", ""特性"": ""有4种不同表现形式。""}","[""第三章  命题演算与推理"", ""§ 3.3 联结词的完备集"", ""3.3.1  联结词的枚举""]"
"""算法""","""一元真值函项""",6,"{""定义"": ""只含有一个命题变元的真值函数。"", ""特性"": ""有4种不同表现形式。""}","[""第三章  命题演算与推理"", ""§ 3.3 联结词的完备集"", ""3.3.1  联结词的枚举""]"
"""概念""","""一次线性同余方程""",4,"{""定义"": ""同余方程的一种，形式为ax≡b(mod m)。""}","[""第二章  整数与算法设计基础"", ""§ 2.2 同余算术及其应用"", ""2.2.2 同余方程与方程组""]"
"""概念""","""三段论推理""",3,"{""定义"": ""一种逻辑推理形式，包含三个命题，其中一个是结论，另外两个是前提。""}","[""第四章  谓词演算与推理"", ""§ 4.1 个体词、谓词与量词"", ""4.1.1  逻辑与谓词逻辑""]"
"""概念""","""三角函数""",4,"{""定义"": ""以角度为自变量的函数，如正弦、余弦、正切等。""}","[""第七章 函数与特殊函数"", ""§ 7.1 函数的基本概念"", ""7.1.3 常用特殊函数""]"
"""概念""","""上下文相关信息""",7,"{""定义"": ""逻辑运算中，根据语句内容和上下文判断“或”运算的含义。"", ""应用"": ""在逻辑演算中，用于甄别“或”表达的是可兼或还是不可兼或。"", ""特性"": ""可兼或与异或具有不同的含义，默认为可兼或运算。""}","[""第三章  命题演算与推理"", ""§ 3.1 命题的概念与运算"", ""3.1.3  命题的常用联结词"", ""二、合取与析取联结词""]"
"""定理""","""上取整函数""",4,"{""定义"": ""对实数x，取不小于x的最小整数，记为f(x)=⌈x⌉。""}","[""第七章 函数与特殊函数"", ""§ 7.1 函数的基本概念"", ""7.1.3 常用特殊函数""]"
"""算法""","""上移""",5,"{""定义"": ""在B树中，将一个关键字从子结点移动到父结点的操作。"", ""条件"": ""当子结点的关键字个数低于下限时发生。""}","[""第九章  树的基本理论与算法"", ""§ 9.3 特殊根数与算法"", ""9.3.3 B树模型"", ""3 . B树的删除""]"
"""概念""","""上近似集合""",3,"{""定义"": ""集合$S$的上近似，是包含$S$中所有元素的最小集合。""}","[""第六章 特殊关系模型"", ""§ 6.3偏序关系与元素比较"", ""6.4.1 粗集定义问题""]"
"""定理""","""下取整函数""",4,"{""定义"": ""对实数x，取不大于x的最大整数，记为f(x)=⌊x⌋。""}","[""第七章 函数与特殊函数"", ""§ 7.1 函数的基本概念"", ""7.1.3 常用特殊函数""]"
"""算法""","""下移""",5,"{""定义"": ""在B树中，将一个关键字从父结点移动到子结点的操作。"", ""条件"": ""当父结点的关键字个数超过上限时发生。""}","[""第九章  树的基本理论与算法"", ""§ 9.3 特殊根数与算法"", ""9.3.3 B树模型"", ""3 . B树的删除""]"
"""算法""","""下移到""",6,"{""定义"": ""将元素从当前位置移动到更低的位置。""}","[""第九章  树的基本理论与算法"", ""§ 9.3 特殊根数与算法"", ""9.3.3 B树模型"", ""3 . B树的删除""]"
"""概念""","""下近似集合""",3,"{""定义"": ""集合$S$的下近似，包含所有属于$S$的$R$等价类。"", ""用途"": ""用于描述边界模糊或不确定的对象群体。""}","[""第六章 特殊关系模型"", ""§ 6.3偏序关系与元素比较"", ""6.4.1 粗集定义问题""]"
"""概念""","""不交""",4,"{""定义"": ""两个图的顶点集合没有交集。""}","[""第八章  图的基本理论与算法"", ""§ 8.2 图的运算与结构"", ""8.2.1 图的基本运算"", ""一、图的集合运算""]"
"""概念""","""不可兼或""",6,"{""定义"": ""两个命题中只有一个为真时结果为真。"", ""应用"": ""用于表示逻辑上的“异或”关系。"", ""特性"": ""与可兼或运算不同，不可兼或不允许两个命题同时为真。""}","[""第三章  命题演算与推理"", ""§ 3.1 命题的概念与运算"", ""3.1.3  命题的常用联结词"", ""二、合取与析取联结词""]"
"""概念""","""不可平面图""",4,"{""定义"": ""不能嵌入平面的图模型""}","[""第十章  特殊图模型与算法"", ""§ 10.2 二分图与匹配问题"", ""10.3.1  平面图的概念与性质""]"
"""概念""","""不可数集""",3,{},"[""第一章  集合与计数基础"", ""§1.2 可数集与不可数集"", ""1.2.3 无限集的基数比较""]"
"""概念""","""不可数集合的基数""",4,"{""定义"": ""开区间(0, 1)的基数，记为ℵ，读作阿列夫。"", ""特点"": ""比可数集合规模更大的一种无限集合类型。""}","[""第一章  集合与计数基础"", ""§1.2 可数集与不可数集"", ""1.2.3 无限集的基数比较""]"
"""性质""","""不可数集合规模比较""",6,{},"[""第一章  集合与计数基础"", ""§1.2 可数集与不可数集"", ""1.2.3 无限集的基数比较""]"
"""概念""","""不重""",4,"{""定义"": ""两个图没有公共的边。""}","[""第八章  图的基本理论与算法"", ""§ 8.2 图的运算与结构"", ""8.2.1 图的基本运算"", ""一、图的集合运算""]"
"""算法""","""不重复的排列""",6,"{""条件"": ""选择的元素不重复，且排列顺序固定。""}","[""第一章  集合与计数基础"", ""§ 1.3 有限集的基本计数技术"", ""1.3.3 排列计数与组合计数""]"
"""算法""","""不重复的组合""",6,"{""条件"": ""选择的元素不重复，但排列顺序不重要。""}","[""第一章  集合与计数基础"", ""§ 1.3 有限集的基本计数技术"", ""1.3.3 排列计数与组合计数""]"
"""性质""","""与、或、非运算""",4,"{""定义"": ""命题代数中的基本运算。"", ""应用"": ""用于命题逻辑表达和推理。""}","[""第十一章  抽象代数结构通论"", ""§ 11.1 代数结构的基本概念""]"
"""原理""","""与运算""",4,"{""定义"": ""命题逻辑中的运算，输出为所有输入均为真时为真。"", ""用途"": ""组合逻辑电路设计中的基本运算。""}","[""第三章  命题演算与推理"", ""§ 3.6 命题逻辑的应用"", ""3.6.2 组合逻辑电路设计""]"
"""原理""","""与门""",4,"{""定义"": ""逻辑电路，输出仅依赖于当前输入变量值。"", ""用途"": ""组合逻辑电路设计中的基本逻辑门。""}","[""第三章  命题演算与推理"", ""§ 3.6 命题逻辑的应用"", ""3.6.2 组合逻辑电路设计""]"
"""算法""","""两两比较策略""",3,"{""定义"": ""一种决策树解法，通过两两比较硬币重量来找出假币。""}","[""第九章  树的基本理论与算法"", ""§ 9.4 树模型的应用"", ""9.4.1 找假币问题""]"
"""概念""","""个体变量""",4,"{""定义"": ""用于表示个体或对象的变量。""}","[""第四章  谓词演算与推理"", ""§ 4.3 谓词公式的范式"", ""4.3.2 非等值型范式"", ""一、∃型前束范式""]"
"""概念""","""个体变量改名方法""",5,"{""定义"": ""避免个体变量在概念理解上的歧义或混乱的方法。"", ""规则"": ""确保个体变量在公式中只以一种方式出现。""}","[""第四章  谓词演算与推理"", ""§ 4.2 谓词公式与等值演算"", ""4.2.2 变量的自由与约束""]"
"""概念""","""个体域""",3,"{""description"": null, ""relation"": null}","[[""第四章  谓词演算与推理"", ""§ 4.1 个体词、谓词与量词"", ""4.1.3  量词与特性谓词""], [""第四章  谓词演算与推理"", ""§ 4.4 谓词逻辑的推理"", ""4.4.2 谓词推证的基本方法""]]"
"""概念""","""个体域集合""",3,"{""定义"": ""谓词公式解释中确定非空的个体集合。""}","[""第四章  谓词演算与推理"", ""§ 4.2 谓词公式与等值演算"", ""4.2.3 谓词公式的解释与分类""]"
"""概念""","""个体词""",3,"{""description"": null, ""relation"": null}","[[""第四章  谓词演算与推理""], [""第四章  谓词演算与推理"", ""§ 4.1 个体词、谓词与量词"", ""4.1.1  逻辑与谓词逻辑""], [""第四章  谓词演算与推理""], [""第四章  谓词演算与推理"", ""§ 4.1 个体词、谓词与量词"", ""4.1.2  命题函数与谓词"", ""三、谓词与谓词填式""], [""第四章  谓词演算与推理""], [""第四章  谓词演算与推理"", ""§ 4.1 个体词、谓词与量词"", ""4.1.3  量词与特性谓词""], [""第四章  谓词演算与推理""], [""第四章  谓词演算与推理"", ""§ 4.1 个体词、谓词与量词"", ""4.1.3  量词与特性谓词"", ""二、量词的展开与否定""], [""第四章  谓词演算与推理""], [""第四章  谓词演算与推理"", ""§ 4.4 谓词逻辑的推理"", ""4.4.2 谓词推证的基本方法""]]"
"""概念""","""中介结点""",4,"{""定义"": ""在图论中，用于更新路径长度和路径记录的结点。""}","[""第八章  图的基本理论与算法"", ""§ 8.2 图的运算与结构"", ""8.4.4 多源最短路径""]"
"""定理""","""中国余数定理""",2,"{""description"": null, ""relation"": null}","[[""第二章  整数与算法设计基础"", ""§ 2.2 同余算术及其应用"", ""2.2.2 同余方程与方程组""], [""第二章  整数与算法设计基础"", ""§ 2.2 同余算术及其应用"", ""2.2.3 整数加密算法""]]"
"""概念""","""中间关键字""",6,"{""定义"": ""在B树分裂过程中，作为分割结点的关键字。""}","[""第九章  树的基本理论与算法"", ""§ 9.3 特殊根数与算法"", ""9.3.3 B树模型"", ""2. B树的插入""]"
"""概念""","""串行执行结构""",5,"{""定义"": ""偏序集中链表达的结构，表示部分元素之间存在全序关系。""}","[""第六章 特殊关系模型"", ""§ 6.3偏序关系与元素比较"", ""6.3.3  全序与良序""]"
